date,P02,P04,P07,P09,P10,P11,P12,P13,P14,P15,P16,C01,P03,P20
2011-05-23,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.87604166666668,0.0,0.0
2011-05-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.98958333333334,0.3,0.0
2011-05-25,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.99409722222222,0.0,0.0
2011-05-26,0.30000000000000004,0.2,0.1,0.7000000000000001,2.8,1.2,0.5,1.2,0.4,0.0,0.7000000000000001,242.15208333333334,0.4,0.0
2011-05-27,2.1,4.8,1.6,2.8000000000000003,3.7,1.2,1.9,2.1,1.6,2.1,3.1,255.21986062717772,3.3000000000000003,3.0
2011-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.72013888888887,0.0,0.0
2011-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.35833333333332,0.0,0.0
2011-05-30,0.1,0.1,0.0,0.0,0.0,0.0,0.30000000000000004,0.0,0.0,0.1,0.0,239.61006944444443,0.0,0.0
2011-05-31,3.2,3.7,3.0,4.2,3.3000000000000003,3.1,2.9000000000000004,4.3,4.5,2.2,7.2,268.74618055555555,4.5,3.1
2011-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.54216027874565,0.0,0.0
2011-06-02,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.1295138888889,0.0,0.0
2011-06-03,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.51770833333336,0.0,0.0
2011-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.81354166666668,0.0,0.0
2011-06-05,3.7,3.6,3.0,3.6,1.6,2.9000000000000004,5.3,3.2,2.7,2.1,3.0,262.68819444444443,3.5,2.4
2011-06-06,1.2,1.7,3.9000000000000004,0.5,3.3000000000000003,0.8,2.9,0.30000000000000004,6.4,6.499999999999999,1.2000000000000002,249.05296167247386,1.1,2.4
2011-06-07,5.9,10.5,4.7,6.3,4.5,8.8,14.700000000000001,6.9,7.3,5.1,9.1,300.26874999999995,9.5,5.4
2011-06-08,1.1,3.1,1.1,1.6,1.0,2.1,3.7,1.6,1.6,1.5,2.6,286.1159722222222,2.6,0.5
2011-06-09,0.30000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.1295138888889,0.0,0.0
2011-06-10,5.4,7.4,5.4,7.6000000000000005,5.8,6.8,9.2,7.1,7.2,4.8,6.6000000000000005,303.5413194444444,5.3,6.1
2011-06-11,1.0999999999999999,0.4,0.30000000000000004,0.30000000000000004,1.5,0.4,0.2,0.30000000000000004,0.2,0.2,0.3,238.1623693379791,0.2,0.4
2011-06-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.81840277777778,0.0,0.0
2011-06-13,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.1,229.85000000000002,0.2,0.0
2011-06-14,0.0,0.0,0.39999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.2267361111111,0.0,0.0
2011-06-15,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.73958333333334,0.0,0.0
2011-06-16,3.8,6.3,5.699999999999999,5.4,4.0,8.799999999999999,19.5,7.7,6.800000000000001,5.3999999999999995,6.2,313.7146341463415,562.8000000000001,4.9
2011-06-17,1.2000000000000002,0.0,0.6,0.1,0.8,0.0,0.1,0.0,0.1,0.0,0.1,246.26909722222223,0.1,0.5
2011-06-18,2.6,4.0,4.4,4.1000000000000005,5.4,2.6,4.2,3.5,3.9,5.3,2.9,258.8013888888889,4.2,4.5
